Type                                  RC-5 Temperature  logger
User information                      URC-5 Data Logger
Number                                001
Recording interval                    00:02:00 HH:MM:SS
Startup delay                         0.0 H
Record Item Count                     32000
Maximum Temperature                   25.5 °C
Minimum Temperature                   17.5 °C
Average Temperature                   20.9 °C
Temperature Upper Limit               60.0 °C
Temperature Lower Limit               -30.0 °C
Maximum Humidity                      %RH
Minimum Humidity                      %RH
Average Humidity                      %RH
Humidity Upper Limit                  %RH
Humidity Upper Limit                  %RH
Start Time                            2016-03-12 12:21:30
End Time                              2016-04-25 23:59:30
Time Format                           yyyy-MM-dd HH:mm:ss
Temperature Unit                      °C
No.			Time		 Temperature°C     Humidity%RH 	
    1		2016-03-12 12:21:30		25.5		   
    2		2016-03-12 12:23:30		24.1		   
    3		2016-03-12 12:25:30		23.4		   
    4		2016-03-12 12:27:30		22.7		   
    5		2016-03-12 12:29:30		22.2		   
    6		2016-03-12 12:31:30		21.9		   
    7		2016-03-12 12:33:30		21.6		   
    8		2016-03-12 12:35:30		21.5		   
    9		2016-03-12 12:37:30		21.4		   
   10		2016-03-12 12:39:30		21.3		   
   11		2016-03-12 12:41:30		21.2		   
   12		2016-03-12 12:43:30		21.2		   
   13		2016-03-12 12:45:30		21.1		   
   14		2016-03-12 12:47:30		21.1		   
   15		2016-03-12 12:49:30		21.0		   
   16		2016-03-12 12:51:30		21.0		   
   17		2016-03-12 12:53:30		21.0		   
   18		2016-03-12 12:55:30		21.0		   
   19		2016-03-12 12:57:30		21.0		   
   20		2016-03-12 12:59:30		21.0		   
   21		2016-03-12 13:01:30		21.0		   
   22		2016-03-12 13:03:30		21.0		   
   23		2016-03-12 13:05:30		21.0		   
   24		2016-03-12 13:07:30		21.0		   
   25		2016-03-12 13:09:30		21.0		   
   26		2016-03-12 13:11:30		20.9		   
   27		2016-03-12 13:13:30		21.0		   
   28		2016-03-12 13:15:30		21.0		   
   29		2016-03-12 13:17:30		21.0		   
   30		2016-03-12 13:19:30		21.0		   
   31		2016-03-12 13:21:30		21.1		   
   32		2016-03-12 13:23:30		21.1		   
   33		2016-03-12 13:25:30		21.1		   
   34		2016-03-12 13:27:30		21.2		   
   35		2016-03-12 13:29:30		21.2		   
   36		2016-03-12 13:31:30		21.2		   
   37		2016-03-12 13:33:30		21.2		   
   38		2016-03-12 13:35:30		21.3		   
   39		2016-03-12 13:37:30		22.1		   
   40		2016-03-12 13:39:30		22.2		   
   41		2016-03-12 13:41:30		22.2		   
   42		2016-03-12 13:43:30		22.1		   
   43		2016-03-12 13:45:30		22.0		   
   44		2016-03-12 13:47:30		21.9		   
   45		2016-03-12 13:49:30		21.8		   
   46		2016-03-12 13:51:30		21.8		   
   47		2016-03-12 13:53:30		21.7		   
   48		2016-03-12 13:55:30		21.7		   
   49		2016-03-12 13:57:30		21.6		   
   50		2016-03-12 13:59:30		21.6		   
   51		2016-03-12 14:01:30		21.5		   
   52		2016-03-12 14:03:30		21.5		   
   53		2016-03-12 14:05:30		21.5		   
   54		2016-03-12 14:07:30		21.5		   
   55		2016-03-12 14:09:30		21.5		   
   56		2016-03-12 14:11:30		21.4		   
   57		2016-03-12 14:13:30		21.4		   
   58		2016-03-12 14:15:30		21.4		   
   59		2016-03-12 14:17:30		21.4		   
   60		2016-03-12 14:19:30		21.3		   
   61		2016-03-12 14:21:30		21.3		   
   62		2016-03-12 14:23:30		21.3		   
   63		2016-03-12 14:25:30		21.3		   
   64		2016-03-12 14:27:30		21.3		   
   65		2016-03-12 14:29:30		21.2		   
   66		2016-03-12 14:31:30		21.2		   
   67		2016-03-12 14:33:30		21.2		   
   68		2016-03-12 14:35:30		21.2		   
   69		2016-03-12 14:37:30		21.2		   
   70		2016-03-12 14:39:30		21.2		   
   71		2016-03-12 14:41:30		21.2		   
   72		2016-03-12 14:43:30		21.2		   
   73		2016-03-12 14:45:30		21.1		   
   74		2016-03-12 14:47:30		21.1		   
   75		2016-03-12 14:49:30		21.1		   
   76		2016-03-12 14:51:30		21.1		   
   77		2016-03-12 14:53:30		21.1		   
